songID,title,author,AlbumID
2,"Effect me","Mary Kane",58
3,Name,"Shelby Schultz",86
5,"Choice hope","David Franklin",67
7,Fast,"Amanda Estrada",35
16,Ok,"Latoya Ayala",60
17,Resource,"Mrs. Patricia White MD",191
20,Similar,"Rachel Navarro",102
26,Fish,"Savannah Ross",58
28,Necessary,"Maria Key",179
33,Almost,"Teresa Ortiz",106
34,Improve,"Jessica Alexander",45
40,Mouth,"Teresa Morse",147
49,Fine,"Sonya Murphy DVM",102
56,"Democrat base","Edward Craig",106
61,Provide,"Stephanie Reynolds",22
64,"Top time","Julia Thompson",117
70,Whose,"Jonathan Brady",70
71,Might,"Logan Hernandez",70
73,Determine,"Justin Roberson",90
74,"Moment true","Timothy Young",9
76,Task,"Jacob Spence",153
78,Challenge,"Richard Roberts",25
87,"Team PM","Chris Gray",25
88,Suddenly,"Karen Bell",77
90,"Reveal represent","Samuel Davis",170
91,"Although detail","Jessica Goodman",104
93,Site,"Kristen Fischer",90
96,"Century community","Ross Chavez",33
99,From,"Brandon Jackson",153
100,Including,"Jeanette Bishop",62
101,Relate,"Mario Armstrong",135
107,Model,"Christine Allen",15
108,"Become set","Erica Campbell",195
110,"Much cup","Donna Price",117
113,"Hot share","Dennis Johnson",9
114,Myself,"Kenneth Owens",90
115,Factor,"Michael Howard",128
117,Home,"Scott Gibson",108
118,"Campaign impact","Kara Carr",144
119,Check,"Daniel Winters",131
120,Phone,"Michael Baker",177
123,Manage,"Aaron Green",185
126,"Adult knowledge","Joseph Smith",60
128,Better,"Jasmine Morse",163
132,"Music amount","Todd Perez",194
134,"Account conference","Eric Jones",174
136,"Method opportunity","Jeffrey Torres",103
137,"Likely employee","Melanie Stevens",173
138,"Cup always","Dan Bailey",66
139,Phone,"Heather Webb",35
143,"Shake Mr","Jamie Sutton",117
146,"Base example","Jamie Miller",5
147,Leave,"Amanda Howell",170
149,Word,"Melissa Rocha",75
151,Statement,"Jessica Suarez",103
152,Up,"Donald Taylor",125
153,"Reveal step","Antonio Harris",66
157,Though,"Ryan Dillon",25
159,"Smile improve","Andrew Bernard",34
163,"Shake question","Willie Yates",154
164,"Technology account","Rhonda Mccall",179
165,"Order set","Kevin Johnson",6
167,"Beautiful Democrat","Kristie Murphy",162
169,Base,"Richard Pearson",171
170,"Also item","Michelle Abbott",77
171,Exist,"David Castaneda",147
172,Open,"Wesley Montgomery",187
173,"Young can","Matthew Stafford",109
176,"Forward senior","Logan Nixon",93
177,"Medical learn","Debra Martin",133
180,Different,"Antonio Richards",192
182,Page,"Christina Johnson",133
184,Executive,"Nicole Lee PhD",9
187,Bed,"Diane Griffith",170
192,Clear,"William Gonzalez",108
193,"Down wish","Kimberly Ortiz",173
195,Simply,"Katrina Martinez DVM",191
199,"Development seek","Wendy Vaughan",25
