AID,title,copyright_date,producerID
3,"Special compare",2021-07-03,81
4,"Issue TV conference",2024-07-19,153
5,"Entire now",2021-02-23,38
6,"Moment describe training",2025-04-27,198
8,"Plan American item",2021-08-15,180
9,"Sit change",2022-01-10,134
10,"Cup health store",2023-12-16,110
13,"Process write plant",2025-02-26,122
15,"Glass animal happen",2021-02-28,116
17,"Increase describe",2020-09-14,174
22,"Majority cover",2023-01-31,168
23,"Safe billion use",2022-09-28,31
25,"Medical history occur",2024-12-29,122
28,"Keep we",2023-06-11,10
32,"Ask its",2024-05-14,137
33,"Decision after fish",2021-08-26,190
34,Mrs,2024-01-20,115
35,"Manager night painting management",2021-03-25,84
40,"Field true attorney",2023-07-09,107
45,"End hear",2023-08-10,111
55,"Present enter table",2022-08-08,119
58,Yes,2025-08-13,39
60,"Hear kind",2025-08-08,119
61,"Sea blood",2024-10-13,179
62,"Skill western new",2024-07-08,124
66,"Activity whole measure take",2023-12-11,43
67,"Window road",2020-09-08,147
70,"Continue good decade",2024-09-16,121
71,Budget,2024-07-13,6
75,Relate,2024-11-06,10
77,"Your worry this",2024-03-24,121
82,His,2025-06-09,25
86,"Total edge",2022-12-29,94
90,"Well process",2025-04-06,6
92,"Six player should",2024-04-13,43
93,"Through say",2021-08-12,137
98,"Blue yourself marriage trial",2023-08-23,84
102,"With structure",2022-10-05,149
103,"Establish until",2021-09-21,119
104,"Front strong",2025-04-25,83
106,"Lot discuss",2020-09-08,12
107,Arm,2023-07-04,121
108,"Woman guess",2023-06-13,82
109,"Method source finally",2021-07-03,111
112,"Land executive",2025-08-10,4
117,Minute,2023-01-20,107
119,"Go partner surface",2022-12-24,123
120,"Fast property series",2023-08-09,115
125,"Visit a",2022-10-20,128
128,"Develop growth themselves",2024-07-18,13
129,"Music green",2023-06-11,122
131,Available,2022-02-08,39
133,"Consider machine professor",2022-01-23,41
135,"Probably firm reason",2022-08-21,84
144,"While structure government dream",2023-01-27,68
145,"Lay night give",2022-04-15,3
146,"Fear few music",2023-12-26,187
147,"Industry town",2025-08-07,168
153,"Politics room",2024-01-16,83
154,"Year close",2021-10-13,125
157,"Business exist magazine",2020-09-15,117
160,"Chair fight section",2023-11-01,132
162,"Relate international level task",2020-10-17,127
163,"Others throw your",2024-03-18,144
168,"Than indicate ask under",2024-11-27,65
170,"Similar ever may red",2022-09-13,25
171,"Care program Democrat reduce",2023-10-03,59
173,"Without recognize",2025-02-15,189
174,"Dog clear computer",2024-07-03,25
177,"Trade southern now",2022-01-12,73
179,"Threat fire already",2023-02-22,132
182,"Could cultural",2023-02-07,6
183,"Onto yard new",2021-12-04,137
185,"Sound yes",2021-03-03,89
187,Public,2021-10-20,6
188,"Fear financial",2020-11-23,153
189,"Receive product",2021-10-08,137
191,"Role want",2022-09-03,4
192,"Yard tax",2024-01-10,189
194,"Born tend experience",2024-09-23,168
195,"Environment ten again",2024-05-25,16
199,"Tonight score",2022-06-04,10
200,"Then thank",2021-01-11,186
